algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id
sw_ucb,0,1,800.0,300,10,1.4,0.0,0.0,0.0,0,0.1,10.0,0.05,0,0,1.3833947568354348,0.0,1.3833947568354348,1106.7158054683478,1.3833947568354348,0.0034000004234258085,4.99,1.39,task3_sw_ucb_V800.0_w300_g10_T10000_s0,exp_0
sw_ucb,0,2,800.0,300,10,1.8,0.0,0.0,0.0,0,0.1,10.0,0.05,0,1,1.8220211325221642,0.0,1.8220211325221642,1457.6169060177315,1.8220211325221642,0.053199999456410296,4.99,1.79,task3_sw_ucb_V800.0_w300_g10_T10000_s0,exp_0
sw_ucb,0,3,800.0,300,10,2.2,0.0,0.0,0.0,0,0.1,10.0,0.05,0,2,2.1952450058576525,0.0,2.1952450058576525,1756.196004686122,2.1952450058576525,0.029999999242136255,4.99,2.1900000000000004,task3_sw_ucb_V800.0_w300_g10_T10000_s0,exp_0
sw_ucb,0,4,800.0,300,10,2.6,0.0,0.0,0.0,0,0.1,10.0,0.05,0,3,2.563216531341945,0.0,2.563216531341945,2050.573225073556,2.563216531341945,0.02970000059576705,4.99,2.5900000000000003,task3_sw_ucb_V800.0_w300_g10_T10000_s0,exp_0
sw_ucb,0,5,800.0,300,10,3.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,4,3.0080797527454743,0.0,3.0080797527454743,2406.4638021963797,3.008079752745475,0.030100000003585592,4.99,2.99,task3_sw_ucb_V800.0_w300_g10_T10000_s0,exp_0
sw_ucb,0,6,800.0,300,10,3.4,0.0,0.0,0.0,0,0.1,10.0,0.05,0,5,3.455200002256507,0.0,3.455200002256507,2764.1600018052054,3.4552000022565066,0.03190000097674783,4.99,3.39,task3_sw_ucb_V800.0_w300_g10_T10000_s0,exp_0
sw_ucb,0,7,800.0,300,10,3.8000000000000003,0.0,0.0,0.0,0,0.1,10.0,0.05,0,6,3.8373540481564627,0.0,3.8373540481564627,3069.8832385251703,3.8373540481564627,0.0335000004270114,4.99,3.7900000000000005,task3_sw_ucb_V800.0_w300_g10_T10000_s0,exp_0
sw_ucb,0,8,800.0,300,10,4.2,0.0,0.0,0.0,0,0.1,10.0,0.05,0,7,4.154813238209651,0.0,4.154813238209651,3323.8505905677207,4.154813238209651,0.0366000003850786,4.99,4.19,task3_sw_ucb_V800.0_w300_g10_T10000_s0,exp_0
sw_ucb,0,9,800.0,300,10,4.6,0.0,0.0,0.0,0,0.1,10.0,0.05,0,8,4.5267289264476975,0.0,4.5267289264476975,3621.383141158158,4.5267289264476975,0.04199999966658652,4.99,4.59,task3_sw_ucb_V800.0_w300_g10_T10000_s0,exp_0
sw_ucb,0,10,800.0,300,10,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,9,4.958836276873132,0.0,4.958836276873132,3967.0690214985057,4.958836276873132,0.040299999454873614,4.99,4.99,task3_sw_ucb_V800.0_w300_g10_T10000_s0,exp_0
sw_ucb,0,11,800.0,300,10,1.4,0.0,0.0,0.0,0,0.2,10.0,0.05,1,0,1.382066298967362,0.0,1.382066298967362,1105.6530391738895,1.382066298967362,0.040299999454873614,4.99,1.38,task3_sw_ucb_V800.0_w300_g10_T10000_s0,exp_0
sw_ucb,0,12,800.0,300,10,1.8,0.0,0.0,0.0,0,0.2,10.0,0.05,1,1,1.6637484612680584,0.0,1.6637484612680584,1330.9987690144467,1.6637484612680584,0.04360000093583949,4.99,1.78,task3_sw_ucb_V800.0_w300_g10_T10000_s0,exp_0
