algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario
sw_ucb,2,1,800.0,10000,10,1.4,0.0,0.0,0.0,0,0.1,10.0,0.05,0,0,1.3638625779259625,0.0,1.3638625779259625,1091.0900623407701,1.3638625779259628,0.0021000014385208488,4.99,1.39,task3_sw_ucb_V800.0_w10000_g10_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,2,800.0,10000,10,1.8,0.0,0.0,0.0,0,0.1,10.0,0.05,0,1,1.7693468228304055,0.0,1.7693468228304055,1415.4774582643245,1.7693468228304057,0.031400006264448166,4.99,1.79,task3_sw_ucb_V800.0_w10000_g10_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,3,800.0,10000,10,2.2,0.0,0.0,0.0,0,0.1,10.0,0.05,0,2,2.0679266308680075,0.0,2.0679266308680075,1654.341304694406,2.0679266308680075,0.025000001187436283,4.99,2.1900000000000004,task3_sw_ucb_V800.0_w10000_g10_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,4,800.0,10000,10,2.6,0.0,0.0,0.0,0,0.1,10.0,0.05,0,3,2.6799853691360456,0.0,2.6799853691360456,2143.9882953088363,2.6799853691360456,0.026000008801929653,4.99,2.5900000000000003,task3_sw_ucb_V800.0_w10000_g10_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,5,800.0,10000,10,3.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,4,3.047208293601862,0.0,3.047208293601862,2437.7666348814896,3.047208293601862,0.027299989596940577,4.99,2.99,task3_sw_ucb_V800.0_w10000_g10_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,6,800.0,10000,10,3.4,0.0,0.0,0.0,0,0.1,10.0,0.05,0,5,3.3737288581566087,0.0,3.3737288581566087,2698.983086525287,3.3737288581566087,0.029300004825927317,4.99,3.39,task3_sw_ucb_V800.0_w10000_g10_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,7,800.0,10000,10,3.8000000000000003,0.0,0.0,0.0,0,0.1,10.0,0.05,0,6,3.8286903293363834,0.0,3.8286903293363834,3062.9522634691066,3.8286903293363834,0.031000003218650818,4.99,3.7900000000000005,task3_sw_ucb_V800.0_w10000_g10_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,8,800.0,10000,10,4.2,0.0,0.0,0.0,0,0.1,10.0,0.05,0,7,4.204060533489883,0.0,4.204060533489883,3363.2484267919062,4.204060533489883,0.03290000313427299,4.99,4.19,task3_sw_ucb_V800.0_w10000_g10_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,9,800.0,10000,10,4.6,0.0,0.0,0.0,0,0.1,10.0,0.05,0,8,4.562308858178797,0.0,4.562308858178797,3649.8470865430377,4.562308858178797,0.03440000000409782,4.99,4.59,task3_sw_ucb_V800.0_w10000_g10_T10000_s2,exp_2,bandit_stationary_pure
sw_ucb,2,10,800.0,10000,10,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,9,5.038878372556302,0.0,5.038878372556302,4031.1026980450415,5.038878372556302,0.03659998765215278,4.99,4.99,task3_sw_ucb_V800.0_w10000_g10_T10000_s2,exp_2,bandit_stationary_pure
