algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,noise_std,P_index,B_index,reward,q_prev_before,utility_reward,lyapunov_reward,scaled_reward,decision_latency_ms,mu_star,mu_choice,run_tag,experiment_id,scenario
safeopt_gp,1,1,800.0,10000,50,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,49,5.031080907175058,0.0,5.031080907175058,4024.864725740046,5.031080907175058,5.850700006703846,4.99,4.99,task3_safeopt_gp_V800.0_w10000_g50_T10000_s1,exp_1,bandit_stationary_pure
safeopt_gp,1,2,800.0,10000,50,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,49,5.006521853809169,0.0,5.006521853809169,4005.2174830473355,5.006521853809169,0.31290001061279327,4.99,4.99,task3_safeopt_gp_V800.0_w10000_g50_T10000_s1,exp_1,bandit_stationary_pure
safeopt_gp,1,3,800.0,10000,50,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,49,4.924842138419782,0.0,4.924842138419782,3939.8737107358256,4.924842138419782,0.3036999987671152,4.99,4.99,task3_safeopt_gp_V800.0_w10000_g50_T10000_s1,exp_1,bandit_stationary_pure
safeopt_gp,1,4,800.0,10000,50,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,49,5.035267793333656,0.0,5.035267793333656,4028.2142346669248,5.035267793333656,0.42240000038873404,4.99,4.99,task3_safeopt_gp_V800.0_w10000_g50_T10000_s1,exp_1,bandit_stationary_pure
safeopt_gp,1,5,800.0,10000,50,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,49,5.012318728618201,0.0,5.012318728618201,4009.8549828945606,5.012318728618201,0.2986000035889447,4.99,4.99,task3_safeopt_gp_V800.0_w10000_g50_T10000_s1,exp_1,bandit_stationary_pure
safeopt_gp,1,6,800.0,10000,50,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,49,4.9631523382319855,0.0,4.9631523382319855,3970.5218705855887,4.9631523382319855,0.3865000035148114,4.99,4.99,task3_safeopt_gp_V800.0_w10000_g50_T10000_s1,exp_1,bandit_stationary_pure
safeopt_gp,1,7,800.0,10000,50,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,49,5.019055905209818,0.0,5.019055905209818,4015.2447241678547,5.019055905209818,0.3195999888703227,4.99,4.99,task3_safeopt_gp_V800.0_w10000_g50_T10000_s1,exp_1,bandit_stationary_pure
safeopt_gp,1,8,800.0,10000,50,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,49,5.008228619809304,0.0,5.008228619809304,4006.5828958474435,5.008228619809304,0.2719000040087849,4.99,4.99,task3_safeopt_gp_V800.0_w10000_g50_T10000_s1,exp_1,bandit_stationary_pure
safeopt_gp,1,9,800.0,10000,50,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,49,5.004706624832776,0.0,5.004706624832776,4003.765299866221,5.004706624832776,0.2691000117920339,4.99,4.99,task3_safeopt_gp_V800.0_w10000_g50_T10000_s1,exp_1,bandit_stationary_pure
safeopt_gp,1,10,800.0,10000,50,5.0,0.0,0.0,0.0,0,0.1,10.0,0.05,0,49,4.99142111206579,0.0,4.99142111206579,3993.1368896526324,4.99142111206579,0.27859999681822956,4.99,4.99,task3_safeopt_gp_V800.0_w10000_g50_T10000_s1,exp_1,bandit_stationary_pure
