algorithm,seed,t,V,window,grid_density,mos,swer,q_semantic,q_energy,violation_flag,energy_cum,snr_db,P_index,B_index,utility_reward,lyapunov_reward,scaled_reward,q_prev_before,reward,decision_latency_ms,run_tag,experiment_id
raucb_plus,0,1,800.0,300,50,1.4947080963129242,0.7010583807374152,0.3882012322702751,0.20331788788358993,0,0.1,9.590060847932284,0,0,1.4847080963129242,1187.7353558638467,1.4846691948298085,0.2750565466872109,1.4847080963129242,0.07979999645613134,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,2,800.0,300,50,2.1241325979347243,0.5751734804130552,0.9345783850471691,0.511244664944356,0,0.1,8.88632561212529,0,1,2.1141325979347245,1691.0939740637873,2.113867467579734,0.3882012322702751,2.1141325979347245,0.056100019719451666,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,3,800.0,300,50,2.7667732645296548,0.44664534709406906,1.6009216912909991,0.7760723881593281,0,0.1,6.561294837486456,0,2,2.756773264529655,2204.7958615726875,2.755994826965859,0.9345783850471691,2.756773264529655,0.09729998419061303,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,4,800.0,300,50,3.6642513369442677,0.26714973261114644,2.8269368878756698,0.8259283334280205,0,0.1,6.017035854629147,0,3,3.654251336944268,2921.4383152333494,3.6517978940416866,1.6009216912909991,3.654251336944268,0.1365999924018979,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,5,800.0,300,50,4.315151007009302,0.13696979859813965,4.1468604523633195,1.0612405407748355,0,0.1,5.888501191685113,0,4,4.305151007009302,3440.389464993815,4.300486831242269,2.8269368878756698,4.305151007009302,0.14570000348612666,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,6,800.0,300,50,4.907827462374158,0.018434507525168443,5.968902853606115,1.4598455086694409,0,0.1,6.791971373336922,0,5,4.897827462374158,3910.7062143230833,4.888382767903854,4.1468604523633195,4.897827462374158,0.17220000154338777,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,7,800.0,300,50,1.3790824425128285,0.7241835114974343,5.959241001539104,1.5240688739549109,0,0.28,6.334245547669583,1,0,1.3510824425128285,1080.9236246666367,1.3511545308332957,5.968902853606115,1.3510824425128285,0.1996000064536929,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,8,800.0,300,50,2.1555372709039924,0.5688925458192016,6.35272867092115,1.5067460351927737,0,0.28,6.175020537755104,1,1,2.1275372709039924,1699.6849288702122,2.1246061610877653,5.959241001539104,2.1275372709039924,0.22010001703165472,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,9,800.0,300,50,2.989343114522076,0.4021313770955848,7.222818476469795,1.6937677931708985,0,0.28,5.521191928336765,1,2,2.961343114522076,2363.547047163676,2.9544338089545947,6.35272867092115,2.961343114522076,0.2694999857340008,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,10,800.0,300,50,3.6381311400700427,0.27237377198599144,8.262441180832536,1.7109178082707468,0,0.28,4.262126396232645,1,3,3.6101311400700427,2880.5959059784054,3.600744882473007,7.222818476469795,3.6101311400700427,0.29409999842755497,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,11,800.0,300,50,4.4760258316449955,0.10479483367100091,10.00003078481801,1.5444966050374367,0,0.28,4.5265820265619485,1,4,4.448025831644996,3544.063933416641,4.430079916770801,8.262441180832536,4.448025831644996,0.27540000155568123,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,12,800.0,300,50,4.879168136771783,0.024166372645643364,12.044658511565746,1.6580457587817783,0,0.28,6.328216896428074,1,5,4.851168136771784,3860.488169206457,4.825610211508071,10.00003078481801,4.851168136771784,0.2662999904714525,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,13,800.0,300,50,1.4395122060182008,0.7120975587963598,11.845727595459953,1.3661042890546085,0,0.45999999999999996,6.3237627633079905,2,0,1.3935122060182008,1117.2058197664478,1.3965072747080598,12.044658511565746,1.3935122060182008,0.3453000099398196,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,14,800.0,300,50,2.0538297427960965,0.5892340514407807,12.08377071066182,1.0214253935514823,0,0.45999999999999996,6.7536264581302206,2,1,2.0078297427960967,1603.4440003382215,2.004305000422777,11.845727595459953,2.0078297427960967,0.397899973904714,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,15,800.0,300,50,2.790408927155785,0.44191821456884306,12.529585016409474,0.6068019163610434,0,0.45999999999999996,6.317191210987,2,2,2.744408927155785,2190.1400238744404,2.7376750298430506,12.08377071066182,2.744408927155785,0.3611999854911119,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,16,800.0,300,50,3.692036098708184,0.2615927802583632,13.515492145597417,0.24655963834515005,0,0.45999999999999996,6.646160840447202,2,3,3.6460360987081843,2904.475871773103,3.6305948397163785,12.529585016409474,3.6460360987081843,0.3792000061366707,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,17,800.0,300,50,4.348368619077653,0.1303262761844694,14.478125024857341,0.1011137141150047,0,0.45999999999999996,7.279513463272117,2,4,4.302368619077653,3428.884438143391,4.286105547679239,13.515492145597417,4.302368619077653,0.4522999806795269,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
raucb_plus,0,18,800.0,300,50,5.0,0.0,16.36549760506086,0.0,0,0.45999999999999996,8.283475039114286,2,5,4.954,3935.8743838153255,4.9198429797691565,14.478125024857341,4.954,0.32660001306794584,task3_raucb_plus_V800.0_w300_g50_T2000_s0,exp_0
